"state_abb","DATE","PRCP","SNOW","TMAX","TMIN","Fog","HeavyFog","Thunder","Sleet","Hail","Glaze","Dust","Smoke","DriftSnow","Winds","Mist","Drizzle","Rain","FrzRain","Snow","UnknownPrec","IceFog","State","Demand.Loss..MW.","Date.of.Restoration","Event.Type","Region","Month","dayName","Weekend","Blackout","Season"
"CA",2008-02-22,0.1,0,57,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Friday",0,0,"Winter"
"CA",2008-02-23,0.19,0,53,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Saturday",1,0,"Winter"
"CA",2008-02-24,0.37,0,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Sunday",1,0,"Winter"
"CA",2008-02-25,0,0,61,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Monday",0,0,"Winter"
"CA",2008-02-26,0,0,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Tuesday",0,0,"Winter"
"CA",2008-02-27,0,0,70,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Wednesday",0,0,"Winter"
"CA",2008-02-28,0,0,71,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Thursday",0,0,"Winter"
"CA",2008-02-29,0,0,71,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Friday",0,0,"Winter"
"CA",2008-03-01,0,0,64,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Saturday",1,0,"Winter"
"CA",2008-03-02,0,0,66,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Sunday",1,0,"Winter"
"CA",2008-03-03,0,0,66,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Monday",0,0,"Winter"
"CA",2008-03-04,0,0,70,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Tuesday",0,0,"Winter"
"CA",2008-03-05,0,0,69,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Wednesday",0,0,"Winter"
"CA",2008-03-06,0,0,65,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Thursday",0,0,"Winter"
"CA",2008-03-07,0,0,70,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Friday",0,0,"Winter"
