Unnamed: 0,Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Affected State,Region
1636,1319,NPCC,Boston area and Southeast Massachusetts,Severe Weather - Winter Storm Nemo,Unknown,50000,2013-02-08 00:00:00,20:55:00,2013-02-12 00:00:00,04:00:00,Massachusetts,Northeast
1637,1320,WECC,"El Paso, New Mexico",Vandalism; Equipment Fault,Unknown,Unknown,2013-02-09 00:00:00,08:30:00,2013-02-09 00:00:00,15:00:00,New Mexico,Southwest
1638,1321,,Puerto Rico,Generator Trip; Voltage Reduction,350,Unknown,2013-02-10 00:00:00,19:46:00,2013-02-10 00:00:00,20:15:00,Puerto Rico,Other
1639,1322,RFC,"Fort Washington, Maryland",Vandalism,1,1,2013-02-13 00:00:00,09:30:00,2013-02-13 00:00:00,09:30:00,Maryland,Northeast
1640,1322,RFC,"Fort Washington, Maryland",Vandalism,1,1,2013-02-13 00:00:00,09:30:00,2013-02-13 00:00:00,09:30:00,Washington,West
1641,1323,NPCC,Eastern Massachusetts,Fuel Supply Emergency - Petroleum,1,1,2013-02-13 00:00:00,17:39:00,2013-02-15 00:00:00,17:50:00,Massachusetts,Northeast
1642,1324,RFC,"Tuxedo, Maryland",Vandalism,,,2013-02-15 00:00:00,00:00:00,2013-02-15 00:00:00,00:01:00,Maryland,Northeast
1643,1325,RFC,Prince George's County Maryland,Vandalism,1,1,2013-02-16 00:00:00,07:54:00,2013-02-16 00:00:00,07:54:00,Maryland,Northeast
1644,1326,WECC,"Stockton, California",Electrical System Separation (Islanding),13850,6810,2013-02-19 00:00:00,16:01:00,2013-02-20 00:00:00,12:55:00,California,West
1645,1327,WECC,"Las Cruces, New Mexico",Vandalism,Unknown,Unknown,2013-02-21 00:00:00,11:00:00,2013-02-21 00:00:00,11:30:00,New Mexico,Southwest
1646,1328,SERC,Northern Missouri,Severe Weather - Winter Storm Nemo,Unknown,56444,2013-02-26 00:00:00,13:00:00,2013-03-01 00:00:00,10:00:00,Missouri,Midwest
1647,1329,WECC,"Merced County, California",Transmission System Interruption,300,58850,2013-03-03 00:00:00,06:39:00,2013-03-03 00:00:00,10:29:00,California,West
1648,1330,RFC,"Tacoma Park, Maryland",Vandalism,Unknown,Unknown,2013-03-03 00:00:00,16:27:00,2013-03-03 00:00:00,18:20:00,Maryland,Northeast
1649,1331,,Metropolitan area Puerto Rico,Equipment Failure; Transmission System Interruption,Unknown,Unknown,2013-03-04 00:00:00,09:49:00,2013-03-04 00:00:00,22:00:00,Puerto Rico,Other
1650,1332,SERC,Northwest Virginia,Severe Weather - Winter Storm,400,233000,2013-03-06 00:00:00,08:22:00,2013-03-07 00:00:00,10:27:00,Virginia,Southeast
1651,1333,,Systemwide Puerto Rico,Generator Trip; Load Shed,350,262937,2013-03-18 00:00:00,05:21:00,2013-03-18 00:00:00,05:41:00,Puerto Rico,Other
1652,1334,FRCC,Northeast Florida,Suspected Physical Attack,0,0,2013-03-18 00:00:00,17:50:00,2013-03-18 00:00:00,18:07:00,Florida,Southeast
1653,1335,SERC,North/Central Alabama; Georgia,Severe Weather - Thunderstorms,800,240000,2013-03-18 00:00:00,19:30:00,2013-03-20 00:00:00,14:30:00,Alabama,Southeast
1654,1335,SERC,North/Central Alabama; Georgia,Severe Weather - Thunderstorms,800,240000,2013-03-18 00:00:00,19:30:00,2013-03-20 00:00:00,14:30:00,Georgia,Southeast
1655,1336,NPCC,Connecticut,Vandalism,Unknown,Unknown,2013-03-23 00:00:00,07:00:00,2013-03-23 00:00:00,09:00:00,Connecticut,Northeast
