Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
3671,RF,"Michigan: Iosco County, Oscoda County, Ogemaw County, Livingston County, Ionia County, Barry County;",Severe Weather,Unknown,57327,2020-11-15,15:37:00,2020-11-17,12:15:00
3672,NPCC,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,Severe Weather,Unknown,62408,2020-11-15,23:05:00,2020-11-16,05:00:00
3673,RF,Ohio: West Virginia: Virginia: Indiana:,Severe Weather,Unknown,75000,2020-11-15,11:30:00,2020-11-16,03:25:00
3674,WECC,Colorado: Larimer County;,Suspicious Activity,0,0,2021-11-15,11:47:00,,
3675,WECC,"Washington: King County, Kitsap County, Whatcom County, Thurston County, Pierce County;",Severe Weather,Unknown,90000,2021-11-15,11:00:00,2021-11-17,06:00:00
3676,NPCC,Massachusetts: Hampden County[13];,System Operations,0,0,2022-11-15,10:17:00,2022-11-15,11:06:00
3677,WECC,Oregon: Josephine County; Washington: Idaho: Utah: Wyoming:,Vandalism,0,0,2022-11-15,01:00:00,2022-11-15,06:00:00
3678,WECC,Oregon: Tillamook County;,Vandalism,0,0,2017-11-16,15:05:00,2017-11-16,15:06:00
3679,WECC,Oregon: Lane County;,Vandalism,0,0,2019-11-16,16:11:00,2019-11-16,17:01:00
3680,TRE,Texas: New York: Dutchess County;,Suspicious Activity,0,0,2019-11-16,06:00:00,2019-11-16,17:45:00
3681,WECC,California: Los Angeles County;,Suspicious Activity,0,0,2021-11-16,00:42:00,2021-11-16,07:35:00
3682,RF,Maryland: Baltimore County;,System Operations,0,0,2021-11-16,17:37:00,2021-11-16,18:21:00
3683,RF,Michigan: Wexford County;,System Operations,0,0,2021-11-17,12:43:00,2021-11-17,13:25:00
3684,WECC,Colorado: Larimer County;,Vandalism,0,0,2021-11-17,13:12:00,,
3685,MRO,Nebraska: Holt County;,Vandalism,2,0,2018-11-18,13:10:00,,
3686,SERC,Missouri: Jackson County;,System Operations,0,0,2020-11-18,08:30:00,2020-11-18,10:50:00
3687,NPCC,Maine:,System Operations,0,0,2020-11-18,10:20:00,2020-11-18,11:18:00
3688,WECC,Washington: Cowlitz County;,Actual Physical Attack/Vandalism,3,1454,2022-11-18,04:30:00,2022-11-18,04:59:00
3689,WECC,"California: Colusa County, Lake County, Mendocino County, Napa County, Solano County, Sonoma County, Yolo County, Shasta County, Tehama County;",Severe Weather/Transmission Interruption,178,54000,2019-11-20,09:49:00,2019-11-20,15:20:00
3690,WECC,California: Imperial County;,System Operations,0,0,2019-11-20,16:55:00,2019-11-20,17:37:00
3691,TRE,Texas: Kentucky: Arizona: New Mexico: Oregon: Washington:,System Operations,0,Unknown,2020-11-20,09:10:00,2020-11-20,09:22:00
3692,WECC,Nevada: Clark County;,Actual Physical Attack,21,577,2020-11-21,11:59:00,2020-11-21,12:59:00
3693,MRO/RF,Wisconsin:,Cyber Event,0,0,2021-11-21,10:00:00,2021-11-21,10:01:00
3694,NPCC,New York: Broome County;,System Operations,0,0,2019-11-22,00:00:00,2019-11-22,01:10:00
3695,NPCC,New York: Monroe County;,System Operations,0,0,2019-11-22,00:00:00,2019-11-22,01:10:00
3696,NPCC,Maine: Penobscot County;,System Operations,0,0,2022-11-22,10:01:00,2022-11-22,10:43:00
3697,MRO,Wisconsin: Dane County;,System Operations,0,0,2020-11-23,05:50:00,2020-11-23,07:27:00
3698,TRE,Texas: Cameron County;,Suspicious Activity,0,0,2022-11-23,07:03:00,2022-11-23,08:57:00
3699,WECC,Washington: Pierce County;,Actual Physical Attack/Vandalism,0,0,2022-11-23,10:15:00,2022-11-23,14:09:00
3700,RF,Michigan:,System Operations,0,0,2022-11-23,12:46:00,2022-11-23,13:19:00
3701,RF,Maryland: Delaware: New Jersey: Pennsylvania: Illinois: District of Columbia:,Cyber Event,Unknown,Unknown,2022-11-23,09:30:00,,
3702,WECC,Nevada: Clark County;,Vandalism,0,0,2017-11-24,17:06:00,2017-11-26,17:22:00
3703,WECC,"California: Riverside County, Ventura County, San Bernardino County, Orange County, Los Angeles County;",Severe Weather,Unknown,81406,2021-11-24,10:00:00,2021-11-26,10:21:00
3704,WECC,Oregon: Clackamas County;,Vandalism,0,0,2022-11-24,01:40:00,2022-11-24,01:45:00
3705,SERC,"Illinois: Will County, DuPage County, Kane County, McHenry County, Winnebago County, Ogle County, DeKalb County, Lee County, Grundy County, Lake County, Cook County, Livingston County, Stephenson County, LaSalle County, Kankakee County, Kendall County, Boone County;",Severe Weather,Unknown,313448,2018-11-25,22:30:00,2018-11-28,20:17:00
3706,WECC,California: Riverside County;,Actual Physical Attack/Vandalism,0,0,2022-11-25,05:00:00,2022-11-25,08:00:00
3707,WECC,California:,Severe Weather,300,93000,2019-11-26,18:07:00,2019-11-27,12:27:00
3708,NPCC,Maine: New Hampshire: Vermont:,Severe Weather,Unknown,32000,2018-11-27,08:00:00,2018-11-28,16:50:00
3709,WECC,California: Santa Clara County;,Vandalism,35,2,2019-11-27,02:44:00,2019-11-27,16:00:00
3710,RF,"Michigan: Tuscola County, Sanilac County, Huron County, St. Clair County, Macomb County, Oakland County, Wayne County, Livingston County, Washtenaw County, Monroe County;",Severe Weather,30,107000,2019-11-27,12:00:00,2019-11-30,02:00:00
3711,RF,Maryland: Montgomery County;,Transmission Interruption,190,87500,2022-11-27,17:28:00,2022-11-27,23:58:00
3712,WECC,Oregon: Clackamas County;,Actual Physical Attack/Vandalism,Unknown,6337,2022-11-28,01:08:00,2022-11-28,02:24:00
3713,TRE,Texas: Dawson County;,Actual Physical Attack,0,0,2019-11-29,00:00:00,2019-12-01,00:00:00
3714,TRE,Texas: El Paso County;,Transmission Interruption,0,0,2020-11-30,14:33:00,2020-11-30,17:20:00
3715,NPCC,Massachusetts: Maine: Connecticut: Rhode Island: Vermont: New Hampshire:,Severe Weather,Unknown,116000,2020-11-30,16:24:00,2020-12-01,14:25:00
3716,SERC,North Carolina: South Carolina:,System Operations,0,0,2021-11-30,06:46:00,2021-11-30,06:47:00
3717,TRE,Texas: Cameron County;,Suspicious Activity,0,0,2021-11-30,06:52:00,2021-11-30,07:25:00
3718,WECC,California:,System Operations,10,6000,2021-11-30,13:47:00,2021-11-30,14:21:00
