Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
1075,RFC,"Munster, Indiana",Vandalism,,,2011-10-27,01:00:00,2011-10-27,02:36:00
1076,RFC,Pennsylvania,Severe Weather,UNK,312359,2011-10-29,08:59:00,2011-11-07,19:58:00
1077,RFC,Pennsylvania,Severe Weather,UNK,50000,2011-10-29,08:59:00,2011-11-07,15:00:00
1078,RFC,Northwest and Central New Jersey,Severe Weather,UNK,379000,2011-10-29,09:59:00,2011-11-07,13:00:00
1079,NPCC,Southeast New York,Severe Weather,UNK,161151,2011-10-29,11:18:00,2011-11-04,00:00:00
1080,RFC,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",Severe Weather,UNK,146721,2011-10-29,12:57:00,2011-11-03,23:00:00
1081,RFC,Southeast Pennsylvania,Severe Weather,UNK,109335,2011-10-29,14:00:00,2011-10-31,14:00:00
1082,RFC,New Jersey,Severe Weather,125,197000,2011-10-29,14:30:00,2011-11-06,12:00:00
1083,NPCC,"Mid-Hudson Valley Region, New York",Severe Weather,,145000,2011-10-29,15:00:00,2011-11-02,08:15:00
1084,NPCC,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,Severe Weather,UNK,1418100,2011-10-29,16:14:00,2011-11-07,16:00:00
1085,NPCC,New York City area,Severe Weather,UNK,50000,2011-10-29,16:16:00,2011-11-02,21:30:00
1086,"NPCC, RFC",New Jersey; New York,Severe Weather,,74000,2011-10-29,20:00:00,2011-10-31,20:00:00
1087,WECC,"Sweetwater County, Wyoming",Vandalism,0,0,2011-11-04,10:46:00,2011-11-04,10:46:00
1088,NPCC,"Cate Road, Deerfield, New Hampshire",Vandalism,0,0,2011-11-13,11:30:00,2011-11-13,12:00:00
1089,RFC,"McKee, New Jersey",Vandalism,0,0,2011-11-14,14:24:00,2011-11-14,14:24:00
1090,RFC,Indiana,Suspected Physical Attack,0,0,2011-11-22,23:16:00,2011-11-22,23:16:00
1091,WECC,"Orchard Substation, Washington",Vandalism,0,0,2011-11-30,10:00:00,2011-11-30,11:00:00
1092,WECC,"City of Los Angeles, California",Severe Weather,UNK,150000,2011-11-30,16:56:00,2011-12-02,10:00:00
1093,WECC,Southern California,Severe Weather,UNK,91690,2011-12-01,00:45:00,2011-12-07,21:00:00
1094,WECC,Northern California,Severe Weather,300,100000,2011-12-01,03:29:00,2011-12-02,13:05:00
1095,WECC,Wasatch Front Area Utah,Severe Weather,UNK,60000,2011-12-01,10:00:00,2011-12-02,13:11:00
1096,TRE,Rusk County Texas,Suspected Physical Attack,,,2011-12-02,16:15:00,2011-12-02,20:30:00
1097,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2011-12-05,14:00:00,2011-12-06,17:00:00
1098,MRO,"Bismarck-Mandan, North Dakota",Public Appeal to Reduce Electricity Usage,155,34500,2011-12-06,08:00:00,2011-12-06,20:00:00
1099,RFC,"Montague, Michigan",Suspected Physical Attack,0,0,2011-12-06,17:38:00,2011-12-07,11:04:00
1100,SERC,Central Virginia,Severe Weather,240,60000,2011-12-07,19:29:00,2011-12-07,22:57:00
1101,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2011-12-08,08:45:00,2011-12-08,16:30:00
1102,RFC,Clinton County Ohio,Suspected Physical Attack,,0,2011-12-13,03:19:00,2011-12-14,03:19:00
1103,WECC,"Croft Substation, Tacoma, Washington",Suspected Physical Attack,,,2011-12-19,08:48:00,2011-12-19,16:00:00
1104,WECC,"Sweet Home, Oregon",Suspected Physical Attack,12,2500,2011-12-20,07:45:00,2011-12-20,08:45:00
1105,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2011-12-20,09:30:00,2011-12-20,09:31:00
1106,WECC,"Boise, Idaho",Suspected Cyber Attack,0,0,2011-12-21,10:30:00,2011-12-21,10:30:00
1107,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2011-12-31,21:26:00,2011-12-31,21:26:00
1108,WECC,"Tacoma, Washington",Suspected physical attack,,,2012-01-04,12:14:00,2012-01-04,12:14:00
1109,SPP,"CSWS/AEP West territory, Oklahoma",Sabotage,0,0,2012-01-05,10:35:00,2012-01-05,12:25:00
1110,SPP,"Creek County, Oklahoma",Suspected physical attack,,,2012-01-05,10:28:00,2012-01-05,12:25:00
1111,NPCC,"Watertown, Connecticut",Vandalism,,,2012-01-09,14:30:00,2012-01-09,15:30:00
1112,SERC,Louisiana,Load Shed,150,1,2012-01-09,13:36:00,2012-01-11,01:05:00
1113,TRE,"Rusk County, Texas",Load Shed,,,2012-01-10,21:30:00,2012-01-10,21:30:00
1114,WECC,Nevada,Suspected Physical Attack,0,0,2012-01-11,07:19:00,2012-01-11,09:07:00
1115,RFC,"Newark, Delaware",Physical Attack,0,0,2012-01-12,08:26:00,2012-01-12,08:26:00
1116,RFC,"Newark, Delaware",Physical Attack,0,0,2012-01-13,09:20:00,2012-01-13,09:20:00
1117,WECC,"Tacoma, Washington",Vandalism,,,2012-01-15,09:35:00,2012-01-15,09:35:00
1118,TRE,"Austin, Texas",Suspected Cyber Attack,,0,2012-01-17,10:31:00,2012-01-17,17:21:00
1119,WECC,"King, Pierce and Thurston Counties, Washington",Severe Weather - Winter Storm,1600,426000,2012-01-19,07:00:00,2012-01-20,15:00:00
1120,WECC,"Tacoma, Washington",Vandalism,,,2012-01-24,11:22:00,2012-01-24,11:22:00
1121,WECC,"Frederickson Substation, Spanaway, Washington",Vandalism,,,2012-01-27,09:40:00,2012-01-27,09:40:00
1122,WECC,"Roosevelt Substation, Tacoma, Washington",Vandalism,,,2012-01-29,12:45:00,2012-01-29,12:45:00
1123,WECC,"Lamar, Colorado",Suspected Physical Attack,0,0,2012-02-11,08:47:00,2012-02-11,10:30:00
1124,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-02-11,08:55:00,2012-02-11,08:55:00
1125,SERC,"Asheville, North Carolina",Suspected Physical Attack,,,2012-02-13,07:02:00,2012-02-13,16:25:00
1126,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-02-14,19:20:00,2012-02-15,16:00:00
1127,WECC,"Port Orchard, Washington",Suspected Physical Attack,0,0,2012-02-15,05:33:00,2012-02-15,17:30:00
1128,SERC,"Little Rock, Arkansas",Suspected Cyber Attack,UNK,UNK,2012-02-17,03:00:00,2012-02-17,11:33:00
1129,SERC,"Kentucky, Virginia, West Virginia",Severe Weather - Winter Storm,UNK,90000,2012-02-19,17:00:00,2012-02-21,07:33:00
1130,TRE,"South East College Station, Texas",Suspected Physical Attack,0,0,2012-02-23,05:45:00,2012-02-23,15:02:00
1131,NPCC,"Londonderry, New Hampshire",Suspected Physical Attack,0,0,2012-02-23,23:12:00,2012-02-24,01:00:00
1132,WECC,"Spanaway, Washington",Suspected Physical Attack,,,2012-02-24,11:24:00,2012-02-24,11:49:00
1133,WECC,"Sacramento, California",Electrical System Separation (Islanding),1,1,2012-02-28,02:59:00,2012-02-28,06:12:00
1134,WECC,Coos County Oregon,Suspected Physical Attack,UNK,UNK,2012-02-28,07:00:00,2012-02-28,07:00:00
1135,SERC,Northern Alabama; Southeast Tennessee,Severe Weather - Tornadoes ,500,UNK,2012-03-02,12:37:00,2012-03-05,12:01:00
1136,SERC,"Piggott, Arkansas",Operational Failure/Equipment Malfunction,,,2012-03-02,13:45:00,2012-03-02,15:30:00
1137,RFC,"Southeastern, Michigan",Severe Weather - Winter Storm,371,130000,2012-03-02,21:00:00,2012-03-05,16:30:00
1138,RFC,"Lower Peninsula, Michigan",Severe Weather - Winter Storm,50,140000,2012-03-02,21:00:00,2012-03-04,17:30:00
1139,RFC,"Prince Georges County, Maryland",Suspected Physical Attack,,,2012-03-04,01:27:00,2012-03-04,06:58:00
1140,SERC,Texas,Suspected Physical Attack,UNK,UNK,2012-03-04,13:38:00,2012-03-05,11:00:00
1141,RFC,"New Castle, Delaware",Suspected Physical Attack,0,0,2012-03-16,16:00:00,2012-03-16,16:00:00
1142,TRE,"Houston, Texas",Severe Weather - Thunderstorms,,96000,2012-03-20,08:00:00,2012-03-20,13:00:00
1143,RFC,"Newark, Delaware",Suspected Physical Attack,0,0,2012-03-23,19:34:00,2012-03-23,19:34:00
1144,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-03-26,13:24:00,2012-03-26,13:24:00
1145,WECC,"Graham, Washington",Suspected Physical Attack,,,2012-03-28,10:17:00,2012-03-28,10:17:00
1146,RFC,"Lansing, Michigan",Electrical System Separation (Islanding),UNK,0,2012-03-29,12:01:00,2012-03-29,12:02:00
1147,NPCC,Vermont,Suspected Physical Attack,,,2012-03-30,11:10:00,2012-03-30,11:30:00
1148,MRO,"Council Bluffs, Iowa",Vandalism,0,0,2012-04-01,20:27:00,2012-04-03,08:28:00
1149,NPCC,"West Rutland, Vermont",Vandalism,0,0,2012-04-03,11:10:00,2012-04-03,11:25:00
1150,WECC,"Seattle, Washington",Physical Attack,0,0,2012-04-03,15:33:00,2012-04-03,20:25:00
1151,WECC,"WAPA-SNR Regional Office, California",Suspected Physical Attack,,,2012-04-04,15:32:00,2012-04-06,15:30:00
1152,RFC,"Newark, Delaware",Physical Attack,0,0,2012-04-07,14:35:00,2012-04-07,14:36:00
1153,RFC,"Newark, Delaware",Physical Attack,0,0,2012-04-07,12:25:00,2012-04-07,12:26:00
1154,RFC,"Newark, Delaware",Physical Attack,0,0,2012-04-07,09:31:00,2012-04-07,09:32:00
1155,NPCC,"North Attleboro, Massachusetts ",Vandalism,0,0,2012-04-11,09:00:00,2012-04-11,09:00:00
1156,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-04-12,08:08:00,2012-04-12,16:30:00
1157,SERC,Georgia,Suspected Physical Attack,UNK,UNK,2012-04-15,19:38:00,2012-04-15,21:26:00
1158,RFC,"Southeast, Michigan",Severe Weather - High Winds,218,111393,2012-04-16,15:46:00,2012-04-19,02:00:00
1159,WECC,"San Diego County, California",Suspected Physical Attack,0,0,2012-04-17,06:11:00,2012-04-17,17:48:00
1160,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-04-19,07:53:00,2012-04-19,16:00:00
1161,TRE,"Metropolitan Houston, Texas",Severe Weather - Thunderstorms,,120377,2012-04-20,14:27:00,2012-04-21,04:27:00
1162,NPCC,"East Bridgewater, Massachusetts",Physical Attack,,,2012-04-21,15:02:00,2012-04-21,20:09:00
1163,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-04-21,20:55:00,2012-04-23,16:30:00
1164,RFC,Northwest Indiana,Suspected Physical Attack,,,2012-04-23,08:11:00,2012-04-23,12:47:00
1165,WECC,"Snohomish County, Washington",Suspected Physical Attack,,,2012-04-23,11:56:00,2012-04-23,15:35:00
1166,NPCC,"Williston, Vermont",Vandalism,0,0,2012-05-07,12:50:00,2012-05-07,14:00:00
1167,RFC,Eastern Ohio,Load Shed/Severe Weather  - Lightning Storm,420,1,2012-05-07,17:45:00,2012-05-07,18:06:00
1168,WECC,"Lakewood, Washington",Vandalism,,,2012-05-11,11:05:00,2012-05-11,11:20:00
1169,NPCC,"Tyngsborough, Massachusetts",Physical Attack,UNK,UNK,2012-05-24,15:20:00,2012-05-25,17:29:00
1170,WECC,"Alder Dam, Pierce County, Washington",Physical Attack,,,2012-05-29,18:30:00,2012-05-29,19:40:00
1171,SPP,"Oklahoma City Metro Area, Oklahoma",Severe Weather - Thunderstorms,UNK,112000,2012-05-29,20:35:00,2012-05-31,10:00:00
1172,RFC,"Columbus, Ohio",Physical Attack,0,0,2012-05-31,23:45:00,2012-06-01,04:30:00
1173,WECC,"San Francisco, California",Vandalism,,,2012-06-02,07:30:00,2012-06-02,11:35:00
1174,NPCC,"Delhi, New York",Vandalism,,,2012-06-06,08:00:00,2012-06-06,08:00:00
1175,RFC,"Columbia Heights, NW, Washington DC",Vandalism,0,0,2012-06-06,12:37:00,2012-06-06,12:37:00
1176,WECC,"Denver Metro Area, Colorado",Load Shed,120,30379,2012-06-08,17:20:00,2012-06-08,17:25:00
1177,SERC,North/Central Alabama; North/Central Georgia,Severe Weather - Thunderstorms,368,110591,2012-06-11,19:50:00,2012-06-12,15:00:00
1178,TRE,"Houston, Texas",Severe Weather - Thunderstorms,920,175000,2012-06-12,15:57:00,2012-06-14,04:57:00
1179,WECC,"San Juan County, New Mexico",Vandalism,0,0,2012-06-13,16:55:00,2012-06-13,22:09:00
1180,MRO,"Minneapolis/St. Paul, Minnesota",Severe Weather - Thunderstorms,UNK,68200,2012-06-19,04:30:00,2012-06-20,23:00:00
1181,WECC,CAISO Territory California,Fuel Supply Deficiency (Water),UNK,UNK,2012-06-19,05:30:00,2012-06-21,05:30:00
1182,NPCC,"North Shore, Massachusetts",Load Shed,51,29250,2012-06-23,18:57:00,2012-06-23,19:28:00
1183,SERC,Central Virginia,Severe Weather - Wind & Rain,600,190000,2012-06-25,16:04:00,2012-06-26,13:45:00
1184,RFC,"New Castle, Delaware",Physical Attack,0,0,2012-06-29,10:45:00,2012-06-29,10:45:00
1185,,Puerto Rico,Equipment Trip & Failure,1800,900000,2012-06-29,12:10:00,2012-06-29,17:02:00
1186,RFC,"Dayton, Ohio",Severe Weather - Thunderstorms,500,175000,2012-06-29,14:10:00,2012-07-04,18:00:00
1187,RFC,Indiana; Michigan; Ohio; West Virginia,Severe Weather - Thunderstorms,UNK,1355919,2012-06-29,16:00:00,2012-07-02,16:00:00
1188,SERC,"Eastern, Arkansas",Public Appeal to Reduce Electricity Usage,45,7935,2012-06-29,16:00:00,2012-06-29,21:00:00
1189,RFC,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,Severe Weather - Thunderstorms,2946,4645572,2012-06-29,17:15:00,2012-07-02,23:59:00
1190,RFC,West Virginia,Severe Weather - Thunderstorms,700,265000,2012-06-29,18:24:00,2012-07-06,10:00:00
1191,RFC,Maryland; West Virginia,Severe Weather - Thunderstorms,UNK,145000,2012-06-29,19:00:00,2012-07-07,19:43:00
1192,RFC,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",Severe Weather - Thunderstorms,3000,425000,2012-06-29,22:15:00,2012-07-05,12:52:00
1193,SERC,Virginia,Severe Weather - Thunderstorms,5000,880000,2012-06-29,22:29:00,2012-07-04,15:36:00
1194,RFC,"Greater Baltimore area, Maryland",Severe Weather - Thunderstorms,1465,600000,2012-06-29,22:43:00,2012-07-05,11:50:00
1195,RFC,Northeast Illinois,Severe Weather - Thunderstorms,UNK,109000,2012-06-29,23:30:00,2012-06-30,02:00:00
1196,RFC,Delaware; Maryland,Severe Weather - Thunderstorms,0,86390,2012-06-30,01:00:00,2012-07-03,01:00:00
1197,RFC,Atlantic City Electric Service Territory New Jersey,Severe Weather - Thunderstorms,UNK,205000,2012-06-30,01:15:00,2012-07-07,17:33:00
1198,SERC,Northeast Tennessee,Public Appeal to Reduce Electricity Usage,UNK,UNK,2012-06-30,15:00:00,2012-07-02,12:00:00
1199,RFC,"Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",Severe Weather - Thunderstorms,354,60000,2012-06-30,22:30:00,2012-07-02,08:11:00
1200,RFC,Illinois,Severe Weather - Thunderstorms,Unknown,320000,2012-07-01,13:00:00,2012-07-03,15:00:00
1201,SERC,"Tarboro, North Carolina",Operational Failure; Storm Damage,48,6100,2012-07-01,16:47:00,2012-07-01,23:00:00
1202,SERC,"Northern, Central and Eastern North Carolina",Severe Weather  ,Unknown,69106,2012-07-01,17:45:00,2012-07-01,22:15:00
1203,RFC,Lower Peninsula Michigan,Severe Weather - Thunderstorms,Unknown,111000,2012-07-05,00:00:00,2012-07-06,20:30:00
1204,SERC,Northeast Tennessee,Severe Weather - Wind & Storms,,50001,2012-07-05,19:00:00,2012-07-06,16:00:00
1205,WECC,"Tacoma, Washington",Vandalism,,,2012-07-06,15:05:00,2012-07-06,15:06:00
1206,WECC,CAISO California,Fuel Supply Deficiency (Water),Unknown,0,2012-07-07,04:00:00,2012-07-10,04:00:00
1207,RFC,"Lower Valley, Central, Susquehanna Regions Pennsylvania",Severe Weather - Thunderstorms,,64500,2012-07-07,06:06:00,2012-07-09,23:00:00
1208,RFC,Central and Northern New Jersey,Severe Weather - Thunderstorms,,95400,2012-07-07,18:00:00,2012-07-09,19:01:00
1209,WECC,"Alberta, Canada",Energy Deficiency Alert,9896,Unknown,2012-07-09,12:15:00,2012-07-09,16:14:00
1210,SPP,"Little Rock, Arkansas",Public Appeal to Reduce Energy Usage,,,2012-07-16,11:27:00,2012-07-16,12:29:00
1211,RFC,"Southeast Ohio, Northern Kentucky, Southern Indiana",Severe Weather - Thunderstorms,480,103000,2012-07-18,14:16:00,2012-07-19,23:58:00
1212,RFC,Eastern Ohio,Severe Weather - Thunderstorms,Unknown,67000,2012-07-18,16:20:00,2012-07-18,19:05:00
1213,RFC,Northern Illinois,Severe Weather - Thunderstorms,Unknown,181000,2012-07-18,23:00:00,2012-07-19,06:00:00
1214,NPCC,"Niagara County, New York",Fuel Supply Deficiency (Coal),675,Unknown,2012-07-19,10:30:00,2012-07-31,11:00:00
1215,RFC,"Newark, Delaware",Vandalism,,,2012-07-19,12:32:00,2012-07-19,12:33:00
1216,SPP,"City of Lubbock, Texas",Severe Weather; Equipment Failure,220,70000,2012-07-21,02:19:00,2012-07-21,05:20:00
1217,RFC,Northern Indiana,Severe Weather - Thunderstorms,,82621,2012-07-24,07:01:00,2012-07-24,16:30:00
1218,RFC,Northern Illinois,Severe Weather - Thunderstorms,Unknown,330000,2012-07-24,07:30:00,2012-07-24,22:00:00
1219,RFC,Western Pennsylvania,Severe Weather - Thunderstorms,,65112,2012-07-26,18:14:00,2012-07-27,18:14:00
1220,RFC,North/Central Pennsylvania,Severe Weather - Thunderstorms,,65000,2012-07-26,18:21:00,2012-07-28,23:30:00
1221,RFC,Eastern Ohio,Severe Weather - Thunderstorms,Unknown,57054,2012-07-26,18:30:00,2012-07-27,17:22:00
1222,RFC,Central Indiana,Severe Weather - Thunderstorms,Unknown,52702,2012-07-27,17:19:00,2012-07-28,17:19:00
1223,SPP,"Oklahoma, Arkansas",Public Appeal to Reduce Electricity Usage,Unknown,Unknown,2012-08-01,12:00:00,2012-08-01,12:00:00
1224,WECC,"Temblor Substation in McKittrick, California",Electrical System Separation (Islanding),5,127,2012-08-04,03:55:00,2012-08-04,04:21:00
1225,RFC,Northern Indiana,Severe Weather - Thunderstorms,,61413,2012-08-04,04:00:00,2012-08-04,07:20:00
1226,RFC,Northeast Illinois,Severe Weather - Thunderstorms,Unknown,325000,2012-08-04,17:30:00,2012-08-05,12:10:00
1227,WECC,"Tacoma, Washington",Suspected Physical Attack,,,2012-08-11,12:45:00,2012-08-11,17:00:00
1228,SERC,"Knoxville, Tennessee",Vandalism,Unknown,Unknown,2012-08-13,13:15:00,2012-08-13,13:15:00
1229,WECC,CFE (Mexico & U.S.),Severe Weather - Dust Storm; Load Shed Event,655,Unknown,2012-08-13,15:52:00,2012-08-13,19:44:00
1230,RFC,Northern Indiana,Vandalism,0,0,2012-08-16,13:13:00,2012-08-16,13:13:00
1231,WECC,"El Paso, Texas",Suspected Physical Attack,12,3314,2012-08-19,08:42:00,2012-08-19,12:08:00
1232,FRCC,Florida,Severe Weather - TS Isaac,,440000,2012-08-26,22:04:00,2012-08-27,02:04:00
1233,SERC,"Arkansas, Louisiana, Mississippi",Severe Weather - Hurricane Isaac,Unknown,770000,2012-08-28,06:00:00,2012-09-04,08:00:00
1234,SERC,Louisiana,Severe Weather - Hurricane Isaac,150,68018,2012-08-29,06:53:00,2012-08-30,14:00:00
1235,SERC,Louisiana,Severe Weather - Hurricane Isaac,300,50000,2012-08-29,09:00:00,2012-08-31,12:00:00
1236,SPP,Louisiana,Severe Weather - Hurricane Isaac,Unknown,95000,2012-08-29,09:48:00,2012-08-31,12:55:00
1237,WECC,"Alberta, Canada",Electrical System Separation (Islanding),0,0,2012-09-05,10:56:00,2012-09-05,11:27:00
1238,WECC,"Oroville, California",Fuel Supply Deficiency (Water),,,2012-09-06,04:45:00,,
1239,SERC,Arkansas,Severe Weather - Thunderstorms,UNK ,64951,2012-09-07,21:30:00,2012-09-08,01:00:00
1240,RFC,"Prince George's County, Montgomery County Maryland; D.C.",Severe Weather - Thunderstorms,UNK,65000,2012-09-08,15:40:00,2012-09-08,18:45:00
1241,SERC,Virginia,Severe Weather - Thunderstorms,475,119000,2012-09-08,15:53:00,2012-09-09,19:46:00
1242,WECC,"Alberta, Canada",Electrical System Separation (Islanding),0,0,2012-09-11,13:00:00,2012-09-11,13:58:00
1243,RFC,"Brighton, Maryland",Suspected Physical Attack,0,0,2012-09-24,00:00:00,2012-09-25,00:00:00
1244,,Puerto Rico,Voltage Reduction,600,371526,2012-09-26,21:16:00,2012-09-26,22:18:00
1245,WECC,"Greater Sacramento, California",Suspected Physical Attack,,,2012-10-05,17:30:00,2012-10-05,17:50:00
1246,RFC,"Seat Pleasant, Maryland",Vandalsim,0,0,2012-10-09,00:00:00,2012-10-09,00:01:00
1247,RFC,"Seat Pleasant, Maryland",Vandalsim,0,0,2012-10-11,00:00:00,2012-10-11,00:01:00
1248,WECC,Northern California,Electrical System Separation (Islanding),3,2035,2012-10-14,10:36:00,2012-10-14,10:50:00
1249,NPCC,Southeast Vermont,Vandalism; Theft,0,0,2012-10-15,14:15:00,2012-10-15,14:16:00
1250,RFC,"Norbeck, Maryland",Physical Attack; Vandalism,0,0,2012-10-22,00:00:00,2012-10-22,00:01:00
1251,RFC,"Crawfordsville, Indiana",Transmission System Interruption,49,9800,2012-10-23,09:10:00,2012-10-23,09:16:00
1252,RFC,"Kingswood, Maryland",Physical Attack; Vandalism,0,0,2012-10-24,00:00:00,2012-10-24,00:01:00
1253,RFC,"Brighton, Maryland",Suspected Physical Attack,0,0,2012-10-24,00:00:00,2012-10-24,00:01:00
1254,RFC,"Frankford, Delaware",Physical Attack; Vandalism,0,0,2012-10-24,15:15:00,2012-10-24,15:16:00
1255,RFC,"West Lanham, Maryland",Physical Attack; Vandalism,,,2012-10-25,00:00:00,2012-10-25,00:01:00
1256,WECC,"Pueblo, Colorado",Physical Attack; Vandalism,0,0,2012-10-25,14:39:00,2012-10-25,18:00:00
1257,RFC,"Newark, Delaware",Physical Attack; Vandalism,0,0,2012-10-25,18:51:00,2012-10-25,19:30:00
1258,RFC,West Virginia,Severe Weather - Hurricane Sandy,0,208000,2012-10-29,00:00:00,2012-11-09,23:59:00
1259,RFC,New Jersey,Severe Weather - Hurricane Sandy,Unknown,Unknown,2012-10-29,08:00:00,2012-11-04,23:00:00
1260,WECC,"LaGrande, Washington",Physical Attack; Vandalism,0,0,2012-10-29,09:00:00,2012-10-29,09:01:00
1261,RFC,"Delaware, Maryland",Severe Weather - Hurricane Sandy,Unknown,70000,2012-10-29,09:00:00,2012-11-02,18:00:00
1262,RFC,New Jersey,Severe Weather - Hurricane Sandy,Unknown,217000,2012-10-29,12:00:00,2012-11-04,23:00:00
1263,NPCC,"Long Island, New York",Severe Weather - Hurricane Sandy,0,632816,2012-10-29,13:00:00,2012-11-12,14:00:00
1264,NPCC,"Boston, Southeast Massachusetts",Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29,14:40:00,2012-10-30,18:16:00
1265,NPCC,Eastern Massachusetts,Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29,14:45:00,2012-11-01,01:30:00
1266,WECC,"Las Vegas, Nevada",Suspected Physical Attack,,,2012-10-29,15:00:00,2012-10-29,15:01:00
1267,NPCC,"Connecticut, Western Massachusetts",Severe Weather - Hurricane Sandy,0,649075,2012-10-29,15:15:00,2012-11-04,20:00:00
1268,RFC,Eastern Pennsylvania,Severe Weather - Hurricane Sandy,0,270000,2012-10-29,16:00:00,2012-11-07,23:48:00
1269,RFC,Maryland; West Virginia,Severe Weather - Hurricane Sandy,Unknown,150000,2012-10-29,16:00:00,2012-11-08,17:08:00
1270,RFC,Greater Cleveland Ohio,Severe Weather - Hurricane Sandy,0,346000,2012-10-29,16:00:00,2012-11-05,23:59:00
1271,NPCC,"Greater New York City, New York",Severe Weather - Hurricane Sandy,0,818000,2012-10-29,16:01:00,2012-11-08,19:00:00
1272,NPCC,New Jersey,Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29,16:03:00,2012-11-06,12:00:00
1273,NPCC,New Hampshire,Severe Weather - Hurricane Sandy,,50000,2012-10-29,16:45:00,2012-10-31,11:00:00
1274,RFC,Greater Baltimore Maryland,Severe Weather - Hurricane Sandy,0,219000,2012-10-29,17:13:00,2012-10-31,11:00:00
1275,RFC,Greater Philadelphia Pennsylvania,Severe Weather - Hurricane Sandy,Unknown,850000,2012-10-29,17:30:00,2012-11-06,00:00:00
1276,RFC,Central Pennsylvania,Severe Weather - Hurricane Sandy,Unknown,400000,2012-10-29,18:11:00,2012-11-04,22:50:00
1277,RFC,Virginia,Severe Weather - Hurricane Sandy,520,156000,2012-10-29,18:12:00,2012-10-30,19:35:00
1278,NPCC; RFC,Southeast New York; New Jersey,Severe Weather - Hurricane Sandy,Unknown,200000,2012-10-29,18:46:00,2012-11-03,10:45:00
1279,NP,New York,Severe Weather - Hurricane Sandy,Unknown,371000,2012-10-29,18:48:00,2012-11-04,11:36:00
1280,RFC; SERC,Indiana; Kentucky; Michigan; Ohio,Severe Weather - Nor'easter,Unknown,173273,2012-10-29,19:00:00,2012-11-02,05:00:00
1281,NPCC,Southeast and Seacoast Maine,Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29,19:15:00,2012-10-30,15:02:00
1282,RFC,"Hyattsville, Maryland",Physical Attack; Vandalism,0,0,2012-10-30,00:00:00,2012-10-30,00:02:00
1283,RFC,Greater Detroit Michigan,Severe Weather - Nor'easter,Unknown,133777,2012-10-30,02:00:00,2012-11-01,22:00:00
1284,NPCC,"Fitzwilliam, New Hampshire",Vandalism   ,0,0,2012-10-30,13:20:00,2012-10-30,13:25:00
1285,WECC,"Pueblo, Colorado",Physical Attack; Vandalism,Unknown,Unknown,2012-10-30,15:00:00,2012-10-30,15:01:00
1286,NPCC,"Concord, Vermont",Physical Attack; Vandalism,0,0,2012-11-02,09:30:00,2012-11-02,12:10:00
1287,NPCC,New Hampshire,Physical Attack; Vandalism,0,0,2012-11-07,14:21:00,2012-11-07,14:48:00
1288,RFC,"Bishopville, Maryland",Physical Attack; Vandalism,0,0,2012-11-08,09:34:00,2012-11-08,09:35:00
1289,NPCC,Southeast Massachusetts,Physical Attack; Vandalism,0,0,2012-11-15,05:38:00,2012-11-15,05:39:00
1290,MRO,Iowa; Michigan,Suspected Cyber Attack,Unknown,Unknown,2012-11-15,21:09:00,2012-11-15,21:26:00
1291,TRE,"Comanche Peak, Texas",Fuel Supply Deficiency,1231,0,2012-11-17,10:00:00,2012-11-18,10:00:00
1292,RFC,"Bethany Beach, Delaware",Physical Attack; Vandalism,,,2012-11-21,14:50:00,2012-11-21,14:51:00
1293,RFC,"Frankfort, Delaware",Physical Attack; Vandalism,0,0,2012-11-26,12:37:00,2012-11-26,12:38:00
1294,RFC,"Georgetown, Delaware",Physical Attack; Vandalism,,,2012-11-26,15:07:00,2012-11-26,15:08:00
1295,NPCC,New Hampshire,Physical Attack; Vandalism,0,0,2012-11-27,13:07:00,2012-11-27,13:40:00
1296,WECC,Northern California,Severe Weather - Winter Storm,250,125000,2012-12-02,05:20:00,2012-12-04,09:00:00
1297,WECC,"Tacoma, Washington",Suspected Physical Attack,0,0,2012-12-03,12:02:00,2012-12-03,12:30:00
1298,WECC,"Greater San Jose, California",Load Shed,390,Unknown,2012-12-06,21:18:00,2012-12-06,21:31:00
1299,WECC,"Tacoma, Washington",Suspected Physical Attack,0,0,2012-12-17,06:55:00,2012-12-17,07:00:00
