STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",5/5/2008,0,0,73,50,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/6/2008,0,0,79,51,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/7/2008,0,0,76,56,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/8/2008,0.03,0,73,63,,,,,1,,,1,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/9/2008,1.27,0,64,48,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/10/2008,0,0,66,48,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/11/2008,0,0,62,49,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/12/2008,0.33,0,54,45,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/13/2008,0,0,72,50,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/14/2008,0,0,76,50,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/15/2008,0,0,75,53,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/16/2008,0.95,0,62,49,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/17/2008,0.04,0,72,47,1,,,,1,,,,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/18/2008,0.15,0,66,52,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/19/2008,0,0,59,49,,,,,,,,,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/20/2008,0.45,0,56,48,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/21/2008,0,0,68,47,1,,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/22/2008,0.08,0,60,47,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/23/2008,0,0,69,49,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/24/2008,0,0,71,53,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/25/2008,0,0,77,53,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/26/2008,0,0,80,58,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/27/2008,0.23,0,83,60,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/28/2008,0,0,68,53,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/29/2008,0,0,75,50,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/30/2008,0,0,82,58,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/31/2008,0.24,0,76,64,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/1/2008,0,0,82,65,1,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/2/2008,0,0,80,60,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/3/2008,0,0,84,64,,,,,1,,,,,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/4/2008,0.67,0,71,57,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/5/2008,0.01,0,74,61,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/6/2008,0,0,74,59,1,,,,,,,1,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/7/2008,0,0,94,61,1,,,,,,1,1,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/8/2008,0.1,0,93,74,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/2008,0,0,96,76,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/2008,0.04,0,96,69,1,,,,1,,,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/2008,0,0,85,70,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/2008,0,0,85,69,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/2008,0,0,83,66,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/2008,2.01,0,89,68,1,1,,,1,,1,1,1,,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/2008,0.08,0,83,65,1,,,,,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/2008,0.21,0,78,61,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/2008,0,0,75,61,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/2008,0.07,0,73,57,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/2008,0,0,76,57,1,,,,,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/2008,0.2,0,79,61,1,,,,1,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/2008,0,0,83,60,1,,,,,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/2008,0.05,0,79,69,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/2008,0.06,0,79,69,1,,,,1,,1,1,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/2008,0.1,0,80,64,1,,,,1,,,,,,1,,1,,,,
