"state_abb","STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22","State","Demand Loss (MW)","Date of Restoration","Event Type","Region"
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-05,0,0,68,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-06,0,0,66,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-07,0,0,68,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-08,0,0,65,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-09,0,0,69,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-10,0,0,77,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-11,0,0,82,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-12,0,0,88,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-13,0,0,91,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-14,0,0,69,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-15,0,0,67,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-16,0,0,76,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-17,0,0,81,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-18,0,0,79,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-19,0,0,67,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-20,0,0,62,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-21,0,0,64,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-22,0,0,66,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-23,0.01,0,64,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-24,0,0,72,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-25,0,0,79,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-26,0,0,88,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-27,0,0,92,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-28,0,0,87,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-29,0,0,72,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-04-30,0,0,68,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
"CA","USW00023271","SACRAMENTO 5 ESE, CA US",2008-05-01,0,0,77,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA
